system:index,EVI_bofedal,EVI_control,NDMI_bofedal,NDMI_control,NDVI_bofedal,NDVI_control,SAVI_bofedal,SAVI_control,fecha,.geo
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2017-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2017-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2017-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2017-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2017-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2017-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2017-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2017-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2017-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2017-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2017-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2017-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2018-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2018-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2018-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2018-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2018-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2018-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2018-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2018-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2018-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2018-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2018-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2018-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2019-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2019-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.3821412915705068,0.21753057000547663,0.22350593507289887,-9.788061142899096E-4,0.6693008641401926,0.32290804386138916,0.36505589519923,0.1591155734639757,2019-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.39069895245141656,0.21526215867150755,0.20527722934881845,-0.06716996058821678,0.6754570702711741,0.3809564709663391,0.38829085325631707,0.19938589066957133,2019-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.38135114590964303,0.19133309773092724,0.20676803423298729,-0.12871954143047332,0.6830219626426697,0.3924327611923218,0.3964979592319521,0.19315331586042056,2019-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.31046102991968483,0.15052555060661924,0.10100532679685524,-0.17300199568271635,0.5672790493283953,0.28693877533078194,0.3228720370688716,0.1500899471942854,2019-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.2896769805545463,0.13676685399707456,0.026892839413550165,-0.2061494657626519,0.5405411890574864,0.2706171154975891,0.3149042806653059,0.14281774559727764,2019-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.2748049263564492,0.129152629095401,-0.04957687063142657,-0.22290314361453056,0.48007441650737415,0.24056940277417502,0.29626670877075245,0.13579019921115,2019-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.254506814106775,0.1289303132864221,-0.05697599612176418,-0.2002425708554008,0.4053666517138481,0.20155952721834183,0.2542178275981216,0.11859330126023945,2019-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2019-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.24600477501703227,0.1403045839680432,0.05753733590245247,-0.10308898737033208,0.34466737508773804,0.2060391530394554,0.21027700461185983,0.1166191722685323,2019-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
